name,description,category_id,multi_categories,brand_id,ISBN 10,ISBN 13,Publisher,Author,edition,binding,language,dimensions ,weight ,video_provider,video_link,tags,unit_price,unit,slug,current_stock,est_shipping_days,sku,meta title,meta_description,thumbnail_img,photos
Think With Me (hindi),"A self-help or philosophical guide in Hindi, encouraging readers to engage in thoughtful reflection and personal growth.",1,1,,8129142279,9788129142276,Rupa,SUBROTO ROY SAHARA,,Paperback,English,"
25.4 x 4.7 x 20.3",105,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71001-qu9qL._SY466_.jpg,https://m.media-amazon.com/images/I/41B7qNY4KLL._SY466_.jpg
William Shakespeare Julius Gaesar,"A work related to William Shakespeare's famous historical tragedy, ""Julius Caesar,"" about the Roman emperor's assassination.",1,1,,8129101912,9788129101914,Rupa,WILLIAM SHAKESPEARE,,Paperback,English,,105,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41hMf6cR3xL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41hMf6cR3xL._SY445_SX342_.jpg
Indoor And Outdoor Games,A guide or collection of rules and ideas for a wide variety of indoor and outdoor games.,1,1,,8129146339,9788129146335,Rupa,NEERU VAJPAI,,Paperback,English,,107,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51mxM6+c7xL._SX342_SY445_.jpg,https://m.media-amazon.com/images/I/51mxM6+c7xL._SX342_SY445_.jpg
The Amazing Nature Quiz,"A quiz book filled with questions to test and expand knowledge of the natural world, including plants, animals, and ecosystems.",1,1,,9353337186,9789353337186,Rupa,BERTY ASHLEY & AKHILA PHADNIS,,Paperback,English,"
13 x 0.61 x 19.7",107,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/712ypudkL4L._SY466_.jpg,https://m.media-amazon.com/images/I/712ypudkL4L._SY466_.jpg
The Mega Science Quiz,A comprehensive quiz book containing a wide range of questions to test general scientific knowledge.,1,1,,9353337100,9789353337100,Rupa,BERTY ASHLEY & AKHILA PHADNIS,,Paperback,English,"
13 x 0.61 x 19.7",107,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71yWGu4iDEL._SY466_.jpg,https://m.media-amazon.com/images/I/71yWGu4iDEL._SY466_.jpg
TWO TREASURES BUDDHIST TEACHINGS,An insightful book exploring two key treasures or core concepts within Buddhist teachings.,1,1,,8119635310,9788119635313,Rupa,THICH NHAT HANH,,Paperback,English,"
13 x 0.6 x 19.8 ",110,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/31zgidmUWsL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/31zgidmUWsL._SY445_SX342_.jpg
ANIMAL FARM,"George Orwell's classic allegorical novella, a powerful satire on totalitarianism told through the story of a farm animals' rebellion.",1,1,,812911612X,9788129116123,Rupa,GEORGE ORWELL,,Paperback,English,,110,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41dN3THcKzL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41dN3THcKzL._SY445_SX342_.jpg
THE PROSPECT OF FLOWERS,"A novel or poetic work with a lyrical title, likely exploring themes of nature, growth, and hope.",1,1,,8129142104,9788129142108,Rupa,RUSKIN BOND,,Paperback,English,12.95 x 0.89 x 19.79 ,110,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81xK7cwVjeL._SY522_.jpg,https://m.media-amazon.com/images/I/81xK7cwVjeL._SY522_.jpg
THE GIRL ON THE TRAIN (PB),"Paula Hawkins' bestselling psychological thriller, a gripping story about a woman who witnesses something unsettling from her commuter train, in a paperback.",1,1,,9355208618,9789355208613,Rupa,RUSKIN BOND,,Paperback,English,"
12.9 x 0.91 x 19.8",110,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71001-qu9qL._SY466_.jpg,https://m.media-amazon.com/images/I/71001-qu9qL._SY466_.jpg
MRS BHUSHAN TO THE RESCUE,A children's book or a humorous novel about a character named Mrs. Bhushan who saves the day.,1,1,,9355209908,9789355209900,Rupa,RUSKIN BOND,,Paperback,English,,110,,,,,pc,,10,,,,,,
A SONG OF MANY RIVERS,"A lyrical or poetic work exploring the journey of rivers and the stories they hold, likely with a spiritual or environmental theme.",1,1,,812914218X,9788129142184,Rupa,RUSKIN BOND,,Paperback,English,,110,,,,,pc,,10,,,,,,
THE RUPA BOOK OF SHIKAR STORIES-NEW,"A new collection of thrilling hunting stories and adventures, published by Rupa.",1,1,,812914445X,9788129144454,Rupa,RUSKIN BOND,,Paperback,English,,110,,,,,pc,,10,,,,,,
THE LITTLE PRINCE,"Antoine de Saint-Exupéry's classic philosophical fable about a young prince who travels the universe, learning about love, loss, and humanity.",1,1,,9353044405,9789353044404,Rupa,ANTOINE DE SAINT- EXUPERY,,Paperback,English,,109,,,,,pc,,10,,,,,,
A Song Of Many Rivers,"A lyrical or poetic work exploring the journey of rivers and the stories they hold, likely with a spiritual or environmental theme.",1,1,,812914218X,9788129142184,Rupa,RUSKIN BOND,,Paperback,English,,110,,,,,pc,,10,,,,,,
Bullyproof Yourself,A practical guide offering strategies and advice for building resilience and confidence to handle bullying.,1,1,,9357026584,9789357026581,Rupa,VIRENDER KAPOOR,,Paperback,English,,110,,,,,pc,,10,,,,,,
Keystone Habits Unleash An Avalanche-like Change In Your Life,"A self-help book exploring the concept of ""keystone habits,"" small changes that trigger a chain reaction of positive change.",1,1,,9357028048,9789357028042,Rupa,STEVEN SCHUSTER,,Paperback,English,,110,,,,,pc,,10,,,,,,
Making Of The Greatest Warren Buffett The,"A biographical account detailing the life, philosophy, and investment strategies of the legendary investor Warren Buffett.",1,1,,9390918359,9789390918355,Rupa,ABHA SHARMA,,Paperback,English,,110,,,,,pc,,10,,,,,,
Mrs Bhushan To The Rescue,A children's book or a humorous novel about a character named Mrs. Bhushan who saves the day.,1,1,,9355209908,9789355209900,Rupa,RUSKIN BOND,,Paperback,English,,110,,,,,pc,,10,,,,,,
The Girl On The Train,"Paula Hawkins' bestselling psychological thriller, a gripping story about a woman who witnesses something unsettling from her commuter train.",1,1,,9355208618,9789355208613,Rupa,RUSKIN BOND,,Paperback,English,,110,,,,,pc,,10,,,,,,
The Incredible Indian Revoluti,A historical account or non-fiction work detailing the events and impact of the Indian freedom movement.,1,1,,9353337208,9789353337209,Rupa,CHIRANJIT GAM,,Paperback,English,,109,,,,,pc,,10,,,,,,
The School Quiz Book,A fun and educational quiz book designed to test knowledge on a variety of school subjects.,1,1,,8129146398,9788129146397,Rupa,DEREK O' BRIEN,,Paperback,English,,110,,,,,pc,,10,,,,,,
Two Treasures,"A book exploring two valuable concepts, objects, or teachings, possibly with spiritual or philosophical significance.",1,1,,8119635310,9788119635313,Rupa,THICH NHAT HANH,,Paperback,English,,110,,,,,pc,,10,,,,,,
TALES FROM MY BOYHOOD,A collection of nostalgic stories and memoirs recounting the author's experiences and adventures during their boyhood.,1,1,,9357028781,9789357028783,Rupa,RUSKIN BOND,,Paperback,English,,111,,,,,pc,,10,,,,,,
Become An Achiever Right Now,A motivational self-help guide offering actionable steps and inspiration to become a more effective and successful achiever.,1,1,,8197496943,9788197496943,Rupa,NIL AUTHOR NAME,,Paperback,English,,111,,,,,pc,,10,,,,,,
Chandrayaan-3,"A non-fiction account or technical overview of India's Chandrayaan-3 lunar mission, detailing its journey and significance.",1,1,,935702686X,9789357026864,Rupa,AJEY LELE,,Paperback,English,,111,,,,,pc,,10,,,,,,
The Art Of War,"Sun Tzu's classic treatise on military strategy and tactics, offering timeless lessons applicable to business, politics, and life.",1,1,,8129140438,9788129140432,Rupa,SUN TZU,,Paperback,English,,111,,,,,pc,,10,,,,,,
Wake Up Call,A motivational or self-help guide intended to inspire a profound shift in perspective and encourage personal change.,1,1,,9389967619,9789389967616,Rupa,THIBAUT MEURISSE,,Paperback,English,,111,,,,,pc,,10,,,,,,
RESILIENCE THE HAWKING WAY (PB),"A book exploring the concept of resilience, drawing inspiration and lessons from the life and indomitable spirit of Stephen Hawking, in a paperback.",1,1,,935333666X,9789353336660,Rupa,FINAL,,Paperback,English,,113,,,,,pc,,10,,,,,,
EMPOWERING YOU BEYOND BIRHTING (PB),"A guide for women on post-birth empowerment, focusing on physical and emotional well-being beyond the birthing process, in a paperback.",1,1,,9355204469,9789355204462,Rupa,MAHIMA BAKSHI,,Paperback,English,,112,,,,,pc,,10,,,,,,
TALES OF MISCHIEF AND ADVENTURE,"A collection of short stories for children, filled with humorous mischief and thrilling adventures.",1,1,,9361564692,9789361564697,Rupa,RUSKIN BOND,,Paperback,English,,113,,,,,pc,,10,,,,,,
Creative Entrepreneurship The Walt Disney Way,A business book analyzing the entrepreneurial spirit and creative strategies of Walt Disney and the company he built.,1,1,,9355202369,9789355202369,Rupa,VIRENDER KAPOOR ,,Paperback,English,,113,,,,,pc,,10,,,,,,
Empowering You Beyond Birthing,"A guide for women on post-birth empowerment, focusing on physical and emotional well-being beyond the birthing process.",1,1,,9355204469,9789355204462,Rupa,MAHIMA BAKSHI,,Paperback,English,,112,,,,,pc,,10,,,,,,
Resilience The Hawking Way,"A book exploring the concept of resilience, drawing inspiration and lessons from the life and indomitable spirit of Stephen Hawking.",1,1,,935333666X,9789353336660,Rupa,FINAL,,Paperback,English,,113,,,,,pc,,10,,,,,,
Tales Of Mischief And Adventure,"A collection of short stories for children, filled with humorous mischief and thrilling adventures.",1,1,,9361564692,9789361564697,Rupa,RUSKIN BOND,,Paperback,English,,113,,,,,pc,,10,,,,,,
FUN WITH GRAMMAR VOL 4,The fourth volume of a workbook or guide series designed to make learning grammar enjoyable and engaging.,1,1,,9357023348,9789357023344,Rupa,M C B,,Paperback,English,,114,,,,,pc,,10,,,,,,
Fun With Grammar Book 1,The first volume of a workbook or guide series designed to make learning grammar enjoyable and engaging.,1,1,,9357023313,9789357023313,Rupa,M C B ,,Paperback,English,,114,,,,,pc,,10,,,,,,
Fun With Grammar Book 2,The second volume of a workbook or guide series designed to make learning grammar enjoyable and engaging.,1,1,,9357023437,9789357023436,Rupa,M C B,,Paperback,English,,114,,,,,pc,,10,,,,,,
Fun With Grammar Book 3,The third volume of a workbook or guide series designed to make learning grammar enjoyable and engaging.,1,1,,9357024905,9789357024907,Rupa,M C B,,Paperback,English,,114,,,,,pc,,10,,,,,,
Fun With Grammar Book 4,The fourth volume of a workbook or guide series designed to make learning grammar enjoyable and engaging.,1,1,,9357023348,9789357023344,Rupa,M C B,,Paperback,English,,114,,,,,pc,,10,,,,,,
Mrs Dalloway,"Virginia Woolf's modernist masterpiece, capturing a single day in the life of Clarissa Dalloway.",1,1,,8129140128,9788129140128,Rupa,VIRGINIA WOOLF,,Paperback,English,,114,,,,,pc,,10,,,,,,
A STUDY IN SCARLET (PB),"Arthur Conan Doyle's first Sherlock Holmes novel, a classic mystery introducing the iconic detective and Dr. Watson, in a paperback.",1,1,,9355208944,9789355208941,Rupa,ARTHUR CONAN DOYLE,,Paperback,English,,116,,,,,pc,,10,,,,,,
A Study In Scarlet (pb),"Arthur Conan Doyle's first Sherlock Holmes novel, a classic mystery introducing the iconic detective and Dr. Watson, in a paperback.",1,1,,9355208944,9789355208941,Rupa,ARTHUR CONAN DOYLE,,Paperback,English,,116,,,,,pc,,10,,,,,,
Bharatiya Sakshya Adhiniyam 2023,"A legal text or commentary on the Bharatiya Sakshya Adhiniyam, 2023, a key piece of Indian legislation.",1,1,,9361569880,9789361569883,Rupa,RUPA,,Paperback,English,,117,,,,,pc,,10,,,,,,
Power Of The Super Mind,A self-help or psychological guide exploring techniques to unlock and utilize the full potential of the human mind.,1,1,,9357026746,9789357026741,Rupa,NAPOLEON HILL,,Paperback,English,,117,,,,,pc,,10,,,,,,
PETALS ON THE GANGA,"A novel or spiritual work with a poetic title, likely exploring themes of life, death, and purity along the sacred Ganga River.",1,1,,9353333970,9789353333973,Rupa,RUSKIN BOND,,Paperback,English,,118,,,,,pc,,10,,,,,,
Empower Yourself Right Now,A motivational self-help guide offering actionable steps and inspiration to take immediate control of your life and empower yourself.,1,1,,9395853980,9789395853989,Rupa,ALEPH-AUTHOR,,Paperback,English,,118,,,,,pc,,10,,,,,,
Petals On The Ganga,"A novel or spiritual work with a poetic title, likely exploring themes of life, death, and purity along the sacred Ganga River.",1,1,,9353333970,9789353333973,Rupa,RUSKIN BOND,,Paperback,English,,118,,,,,pc,,10,,,,,,
LITTLE RED BOOK GRAMMAR MADE EASY,A compact and easy-to-use guide offering simplified rules and tips to make learning grammar easy.,1,1,,812911805X,9788129118059,Rupa,TERRY O BRIEN,,Paperback,English,,120,,,,,pc,,10,,,,,,
WE MUST LOVE SOMEONE,A novel or philosophical work exploring the fundamental human need for connection and love.,1,1,,9357025294,9789357025294,Rupa,RUSKIN BOND,,Paperback,English,,120,,,,,pc,,10,,,,,,
DAYS AND NIGHTS TO REMEMBER,A memoir or a collection of stories recounting a series of memorable and significant days and nights.,1,1,,9357025928,9789357025928,Rupa,RUSKIN BOND,,Paperback,English,,120,,,,,pc,,10,,,,,,
REWIRE YOUR HABITS,A self-help guide offering practical techniques and psychological insights to change and rewire your habits for a better life.,1,1,,9357027157,9789357027151,Rupa,ZOE MCKEY,,Paperback,English,,120,,,,,pc,,10,,,,,,
LEADERSHIP THE GANDHI WAY,"A book exploring the principles of leadership, drawing lessons and inspiration from the life and philosophy of Mahatma Gandhi.",1,1,,8129134578,9788129134578,Rupa,VIRENDER KAPOOR,,Paperback,English,,120,,,,,pc,,10,,,,,,
THE METAMORPHOSIS (PB),"Franz Kafka's iconic novella, a surreal and disturbing story of a man who awakens to find himself transformed into a giant insect, in a paperback.",1,1,,9355201060,9789355201065,Rupa,FRANZ KAFKA,,Paperback,English,,120,,,,,pc,,10,,,,,,
Best Of Guy De Maupassant,A curated collection of the best short stories by the acclaimed French writer Guy de Maupassant.,1,1,,8129101297,9788129101297,Rupa,GUY DE MAUPASSANT,,Paperback,English,,120,,,,,pc,,10,,,,,,
Derek Introduces The Constitution And Parliament Of India,"A simple and accessible guide for children or young adults, introducing the key principles of the Constitution and Parliament of India.",1,1,,8129136554,9788129136558,Rupa,DEREK O' BRIEN,,Paperback,English,,120,,,,,pc,,10,,,,,,
Grammar Made Easy,A simple and accessible guide offering straightforward rules and tips to make learning grammar easy.,1,1,,812911805X,9788129118059,Rupa,TERRY O BRIEN,,Paperback,English,,120,,,,,pc,,10,,,,,,
Leadership The Gandhi Way,"A book exploring the principles of leadership, drawing lessons and inspiration from the life and philosophy of Mahatma Gandhi.",1,1,,8129134578,9788129134578,Rupa,VIRENDER KAPOOR,,Paperback,English,,120,,,,,pc,,10,,,,,,
Morning Routine Makeover,,1,1,,9355209495,9789355209498,Rupa,STEVEN SCHUSTER & PKCS,,Paperback,English,,120,,,,,pc,,10,,,,,,
My Suitcase Heart,,1,1,,939125604X,9789391256043,Rupa,DEEPTI SINGH GUPTA,,Paperback,English,,120,,,,,pc,,10,,,,,,
"Othello, The Moor Of Venice.",,1,1,,8129106582,9788129106582,Rupa,WILLIAM SHAKESPEARE,,Paperback,English,,120,,,,,pc,,10,,,,,,
Rewire Your Habits: Intentional Life-changes To Transform Your Mind And Body,,1,1,,9357027157,9789357027151,Rupa,ZOE MCKEY,,Paperback,English,,120,,,,,pc,,10,,,,,,
Scandal Point,,1,1,,8129118939,9788129118936,Rupa,MANJU JAIDKA,,Paperback,English,,120,,,,,pc,,10,,,,,,
"Tales Of Fairies, Witches And Magic",,1,1,,9357028692,9789357028691,Rupa,GAYATRI KALRA SEHGAL,,Paperback,English,,120,,,,,pc,,10,,,,,,
The Yoga Sutras Of Patanjali,,1,1,,8129139820,9788129139825,Rupa,CHARLS JOHNSTON,,Paperback,English,,120,,,,,pc,,10,,,,,,
Under The Deodars,,1,1,,8129119625,9788129119629,Rupa,RUDYARD KIPLING,,Paperback,English,,120,,,,,pc,,10,,,,,,
We Must Love Someone,,1,1,,9357025294,9789357025294,Rupa,RUSKIN BOND,,Paperback,English,,120,,,,,pc,,10,,,,,,
Labyrinth,,1,1,,9355200145,9789355200143,Rupa,DANIA KHAN,,Paperback,English,,121,,,,,pc,,10,,,,,,
The Greatest Sports Quiz,,1,1,,935333599X,9789353335991,Rupa,BERTY ASHLEY & AKHILA PHADNIS,,Paperback,English,,121,,,,,pc,,10,,,,,,
WHITE FANG,,1,1,,8129120526,9788129120526,Rupa,JACK LONDON,,Paperback,English,,122,,,,,pc,,10,,,,,,
THE TEMPLE TIGER AND MORE MAN EATERS IN KUMAON,,1,1,,812914185X,9788129141859,Rupa,JIM CORBETT,,Paperback,English,,122,,,,,pc,,10,,,,,,
HOW TO BECOME A PEOPLE MAGNET (PB),,1,1,,935333473X,9789353334734,Rupa,MARC REKLAU,,Paperback,English,,122,,,,,pc,,10,,,,,,
Alms In The Name Of A Blind Horse,,1,1,,8129137313,9788129137319,Rupa,GURDIAL SINGH,,Paperback,English,,122,,,,,pc,,10,,,,,,
The 10 Gunas (mindsets),,1,1,,9355205619,9789355205612,Rupa,PROF. P R MUKUND,,Paperback,English,,122,,,,,pc,,10,,,,,,
The Temple Tiger And More Man Eat,,1,1,,812914185X,9788129141859,Rupa,JIM CORBETT,,Paperback,English,,122,,,,,pc,,10,,,,,,
Men Without Women,,1,1,,9361560549,9789361560545,Rupa,ERNEST HEMINGWAY,,Paperback,English,,124,,,,,pc,,10,,,,,,
MYSTERIOUS TALES FROM THE HILLS (PB),,1,1,,9355201508,9789355201508,Rupa,RUSKIN BOND,,Paperback,English,,125,,,,,pc,,10,,,,,,
Mysterious Tales From The Hills,,1,1,,9355201508,9789355201508,Rupa,RUSKIN BOND,,Paperback,English,,125,,,,,pc,,10,,,,,,
Snowflakes,,1,1,,9353333393,9789353333393,Rupa,ARYAMAN DARDA,,Paperback,English,,125,,,,,pc,,10,,,,,,
THE PRINCE,,1,1,,8129101394,9788129101396,Rupa,NICCOLO MACHIAVELLI,,Paperback,English,,126,,,,,pc,,10,,,,,,
THE WHISTLING SCHOOL BOY AND OTHER STORIES OF SCHOOL LIFE,,1,1,,8129135795,9788129135797,Rupa,RUSKIN BOND,,Paperback,English,,126,,,,,pc,,10,,,,,,
HOW TO ENJOY YOUR LIFE AND YOUR JOB,,1,1,,8129140217,9788129140210,Rupa,DALE CARNEGIE,,Paperback,English,,126,,,,,pc,,10,,,,,,
THE MAN EATING LEOPARD OF RUDRAPRAYAG,,1,1,,8129141841,9788129141842,Rupa,JIM CORBETT,,Paperback,English,,126,,,,,pc,,10,,,,,,
NATURALLY BEAUTIFUL YOUR FACE,,1,1,,8171678866,9788171678860,Rupa,AMBIKA MANCHANDA,,Paperback,English,,126,,,,,pc,,10,,,,,,
STORIES SHORT AND SWEET - ILLUSTRATED,,1,1,,8129124637,9788129124630,Rupa,RUSKIN BOND,,Paperback,English,,126,,,,,pc,,10,,,,,,
WINNING LIKE VIRAT,,1,1,,8129146061,9788129146069,Rupa,ABHIRUP BHATTACHARYA,,Paperback,English,,126,,,,,pc,,10,,,,,,
THE YELLOW UMBRELLA (PB),,1,1,,9355206348,9789355206343,Rupa,RUSKIN BOND,,Paperback,English,,126,,,,,pc,,10,,,,,,
GHOST STORIES OF SHIMLA HILLS (PB),,1,1,,8129107538,9798129107533,Rupa,MINAKSHI CHAUDHRY,,Paperback,English,,126,,,,,pc,,10,,,,,,
THE BEST OF SHERLOCK HOLMES,,1,1,,8171675549,9788171675548,Rupa,SIR ARTHUR CONAN DOYLE,,Paperback,English,,126,,,,,pc,,10,,,,,,
THE BEST OF O'HENRY,,1,1,,8171678076,9788171678075,Rupa,O HENRY,,Paperback,English,,126,,,,,pc,,10,,,,,,
1000 Biology Quiz,,1,1,,8171673201,9788171673209,Rupa,ANIL AGARWAL,,Paperback,English,,126,,,,,pc,,10,,,,,,
1000 Geography Quiz,,1,1,,8171670938,9788171670932,Rupa,S MUTHIAH,,Paperback,English,,126,,,,,pc,,10,,,,,,
1000 Literature Quiz,,1,1,,8171670164,9788171670161,Rupa,SUJATA RAY,,Paperback,English,,126,,,,,pc,,10,,,,,,
31 Miles,,1,1,,8129142295,9788129142290,Rupa,VINITA BAKSHI,,Paperback,English,,126,,,,,pc,,10,,,,,,
Aastha Aur Pyar,,1,1,,8129138840,9788129138842,Rupa,SANGEETA MAHESHWARI,,Paperback,English,,126,,,,,pc,,10,,,,,,
Accelerated Learning (pb),,1,1,,9353337070,9789353337070,Rupa,IAN TUHOVSKY,,Paperback,English,,126,,,,,pc,,10,,,,,,
Bantaism Ii,,1,1,,812913585X,9788129135858,Rupa,BHAI NIRANJAN SINGH,,Paperback,English,,126,,,,,pc,,10,,,,,,
Classic India Kama Sutra,,1,1,,8171671608,9788171671601,Rupa,KUMAR,,Paperback,English,,126,,,,,pc,,10,,,,,,
Classic Tales For Children : Mystery Stories,,1,1,,8129124041,9788129124043,Rupa,TERRY O BRIEN,,Paperback,English,,126,,,,,pc,,10,,,,,,
"Faster, Smarter, Higher",,1,1,,812913750X,9788129137500,Rupa,UTKARSH RAI,,Paperback,English,,126,,,,,pc,,10,,,,,,
How Did The Harppans Say Hello,,1,1,,8129131315,9788129131317,Rupa,ANU KUMAR,,Paperback,English,,126,,,,,pc,,10,,,,,,
How To Enjoy Your Life And Your Job,,1,1,,8129140217,9788129140210,Rupa,DALE CARNEGIE,,Paperback,English,,126,,,,,pc,,10,,,,,,
India Quiz,,1,1,,8171670245,9788171670246,Rupa,AGARWAL A N,,Paperback,English,,126,,,,,pc,,10,,,,,,
Lights ! Scalpel ! Romance,,1,1,,935333490X,9789353334901,Rupa,JAS KOHLI,,Paperback,English,,126,,,,,pc,,10,,,,,,
Naturally Beautiful Your Face,,1,1,,8171678866,9788171678860,Rupa,AMBIKA MANCHANDA,,Paperback,English,,126,,,,,pc,,10,,,,,,
Naturally Beautiful Your Skin,,1,1,,8171678858,9788171678853,Rupa,AMBIKA MANCHANDA,,Paperback,English,,126,,,,,pc,,10,,,,,,
"Now I Love You,now I Don't",,1,1,,8129144964,9788129144966,Rupa,SHOMA NARAYANAN,,Paperback,English,,126,,,,,pc,,10,,,,,,
Peter Pan,,1,1,,8171675522,9788171675524,Rupa,J M BARRIE,,Paperback,English,,126,,,,,pc,,10,,,,,,
Pragati Ke 10 Niyam,,1,1,,8129111349,9788129111340,Rupa,MRIDULA AGARWAL,,Paperback,English,,126,,,,,pc,,10,,,,,,
Rupa Book Of Animal Quiz,,1,1,,8171673279,9788171673278,Rupa,MANEKA GANDHI,,Paperback,English,,126,,,,,pc,,10,,,,,,
Rupa Book Of Medical Quiz,,1,1,,8171670563,9788171670567,Rupa,CHITRA DATTA,,Paperback,English,,126,,,,,pc,,10,,,,,,
Rupa Book Of Super Genius Environment Quiz,,1,1,,8171670229,9788171670222,Rupa,DILIP M SALWI,,Paperback,English,,126,,,,,pc,,10,,,,,,
Selected Stories,,1,1,,8129135191,9788129135193,Rupa,TERRY O BRIEN,,Paperback,English,,126,,,,,pc,,10,,,,,,
Selected Stories By H G Wells,,1,1,,8129131501,9788129131508,Rupa,H G WELLS,,Paperback,English,,126,,,,,pc,,10,,,,,,
Selected Stories By Jack London,,1,1,,8129132532,9788129132536,Rupa,JACK LONDON,,Paperback,English,,126,,,,,pc,,10,,,,,,
Selected Stories By Joseph Conrad,,1,1,,8129132524,9788129132529,Rupa,JOSEPH CONRAD,,Paperback,English,,126,,,,,pc,,10,,,,,,
Selected Stories By Saki,,1,1,,8129131382,9788129131386,Rupa,SAKI,,Paperback,English,,126,,,,,pc,,10,,,,,,
Someone Exactly Like You,,1,1,,9353333628,9789353333621,Rupa,ESHA PANDEY,,Paperback,English,,126,,,,,pc,,10,,,,,,
Stories Short And Sweet - Illustrated,,1,1,,8129124637,9788129124630,Rupa,RUSKIN BOND,,Paperback,English,,126,,,,,pc,,10,,,,,,
The Best Of O.henary,,1,1,,8171678076,9788171678075,Rupa,O HENRY,,Paperback,English,,126,,,,,pc,,10,,,,,,
The Bumper Literature Quiz,,1,1,,9353335973,9789353335977,Rupa,BERTY ASHLEY & AKHILA PHADNIS,,Paperback,English,,127,,,,,pc,,10,,,,,,
The Man Eating Leopard Of Rudra,,1,1,,8129141841,9788129141842,Rupa,JIM CORBETT,,Paperback,English,,126,,,,,pc,,10,,,,,,
The Manager Who Became An Influencer,,1,1,,8129149524,9788129149527,Rupa,HARISH SHIVDASANI,,Paperback,English,,127,,,,,pc,,10,,,,,,
The Nigger Of The Narcissus,,1,1,,8129120348,9788129120342,Rupa,JOSEPH CONRAD,,Paperback,English,,126,,,,,pc,,10,,,,,,
The Prince,,1,1,,8129101394,9788129101396,Rupa,NICCOLO MACHIAVELLI,,Paperback,English,,126,,,,,pc,,10,,,,,,
The Rupa Book Of General Quiz,,1,1,,8171670377,9788171670376,Rupa,G BASU,,Paperback,English,,126,,,,,pc,,10,,,,,,
The Whistling Schoolboy And Other,,1,1,,8129135795,9788129135797,Rupa,RUSKIN BOND,,Paperback,English,,126,,,,,pc,,10,,,,,,
Things You Ought To Know? Game,,1,1,,8129137925,9788129137920,Rupa,TERRY O BRIEN,,Paperback,English,,126,,,,,pc,,10,,,,,,
Victory Mantra-english -pb,,1,1,,8129135280,9788129135285,Rupa,PUSHPESH PANT,,Paperback,English,,126,,,,,pc,,10,,,,,,
Virginia Woolf.,,1,1,,8129135183,9788129135186,Rupa,TERRY O BRIEN,,Paperback,English,,126,,,,,pc,,10,,,,,,
Why The Vada Seller Refused A,,1,1,,8129136619,9788129136619,Rupa,SATISH MANDORA,,Paperback,English,,126,,,,,pc,,10,,,,,,
Winning Like Virat,,1,1,,8129146061,9788129146069,Rupa,ABHIRUP BHATTACHARYA,,Paperback,English,,126,,,,,pc,,10,,,,,,
Treat Your Own Knees,,1,1,,8129120666,9788129120663,Rupa,JIM JOHNSON,,Paperback,English,,128,,,,,pc,,10,,,,,,
A MURDER IN MUSSOORIE AND OTHER TALES (PB),,1,1,,9353337607,9789353337605,Rupa,RUSKIN BOND,,Paperback,English,,130,,,,,pc,,10,,,,,,
"READ WELL, WRITE WELL",,1,1,,9357020578,9789357020572,Rupa,RUSKIN BOND,,Paperback,English,,130,,,,,pc,,10,,,,,,
OLD SCHOOL TALES,,1,1,,9357021868,9789357021869,Rupa,RUSKIN BOND,,Paperback,English,,130,,,,,pc,,10,,,,,,
A MIDSUMMER NIGHT'S DREAM,,1,1,,9357021973,9789357021975,Rupa,WILLIAM SHAKESPEARE,,Paperback,English,,130,,,,,pc,,10,,,,,,
ULTIMATE WORD SEARCH BOOK 3,,1,1,,9357023372,9789357023375,Rupa,M CB,,Paperback,English,,130,,,,,pc,,10,,,,,,
ULTIMATE WORD SEARCH BOOK 2,,1,1,,9357023496,9789357023498,Rupa,M CB,,Paperback,English,,130,,,,,pc,,10,,,,,,
CIVILIZATION AND ITS DISCONTENTS,,1,1,,9357024638,9789357024631,Rupa,SIGMUND FREUD,,Paperback,English,,130,,,,,pc,,10,,,,,,
HOW TO WIN FRIEND AND INFLUENCE PEOPLE - HINDI,,1,1,,9357025073,9789357025072,Rupa,DALE CARNEGIE,,Paperback,English,,130,,,,,pc,,10,,,,,,
CURSIVE WRITING - CAPITAL LETTERS,,1,1,,9355206607,9789355206602,Rupa,RUPA,,Paperback,English,,130,,,,,pc,,10,,,,,,
LOGICAL REASONING BOOK 4,,1,1,,9355206887,9789355206886,Rupa,M C B,,Paperback,English,,130,,,,,pc,,10,,,,,,
A DAY OF FULL POSSIBILITIES,,1,1,,9361560468,9789361560460,Rupa,AANCHAL BEDI,,Paperback,English,,130,,,,,pc,,10,,,,,,
ISHOPANISHAD (HINDI),,1,1,,8170588731,9788170588733,Rupa,SRI AUROBINDO,,Paperback,English,,130,,,,,pc,,10,,,,,,
A Full Day Of Possibilities,,1,1,,9361560468,9789361560460,Rupa,AANCHAL BEDI,,Paperback,English,,130,,,,,pc,,10,,,,,,
